chr	fragmentMid1	fragmentMid2	p_value
21	15405000	13405000	1
21	15405000	13415000	1
21	15405000	13425000	1
21	15405000	13435000	1
21	15405000	13445000	1
21	15405000	13455000	1
21	15405000	13465000	1
21	15405000	13475000	1
21	15405000	13485000	1
21	15405000	13495000	1
21	15405000	13505000	1
21	15405000	13515000	1
21	15405000	13525000	1
21	15405000	13535000	1
21	15405000	13545000	1
21	15405000	13555000	1
21	15405000	13565000	1
21	15405000	13575000	1
21	15405000	13585000	1
21	15405000	13595000	1
21	15405000	13605000	1
21	15405000	13615000	1
21	15405000	13625000	1
21	15405000	13635000	1
21	15405000	13645000	1
21	15405000	13655000	1
21	15405000	13665000	1
21	15405000	13675000	1
21	15405000	13685000	1
21	15405000	13695000	1
21	15405000	13705000	1
21	15405000	13715000	1
21	15405000	13725000	1
21	15405000	13735000	1
21	15405000	13745000	1
21	15405000	13755000	1
21	15405000	13765000	1
21	15405000	13775000	1
21	15405000	13785000	1
21	15405000	13795000	1
21	15405000	13805000	1
21	15405000	13815000	1
21	15405000	13825000	1
21	15405000	13835000	1
21	15405000	13845000	1
21	15405000	13855000	1
21	15405000	13865000	1
21	15405000	13875000	1
21	15405000	13885000	1
21	15405000	13895000	1
21	15405000	13905000	1
21	15405000	13915000	1
21	15405000	13925000	1
21	15405000	13935000	1
21	15405000	13945000	1
21	15405000	13955000	1
21	15405000	13965000	1
21	15405000	13975000	1
21	15405000	13985000	1
21	15405000	13995000	1
21	15405000	14005000	1
21	15405000	14015000	1
21	15405000	14025000	1
21	15405000	14035000	1
21	15405000	14045000	1
21	15405000	14055000	1
21	15405000	14065000	1
21	15405000	14075000	1
21	15405000	14085000	1
21	15405000	14095000	1
21	15405000	14105000	1
21	15405000	14115000	1
21	15405000	14125000	1
21	15405000	14135000	1
21	15405000	14145000	1
21	15405000	14155000	1
21	15405000	14165000	1
21	15405000	14175000	1
21	15405000	14185000	1
21	15405000	14195000	1
21	15405000	14205000	1
